stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location
9388,9388,Walsh & Nakoosa (SB),This stop (#9388) is southbound on the 898 block of Walsh Rd farside Nakoosa Trl,43.109935,-89.310114,MMT,CMAD,0,,1,180,1,Walsh,898,Nakoosa
9391,9391,East Towne & Zeier (EB),This stop (#9391) is eastbound on the 4701 block of East Towne Blvd farside Zeier Rd,43.12909,-89.3043,MMT,CMAD,0,,1,90,1,East Towne,4701,Zeier
9396,9396,Hayes & Morningside (WB),This stop (#9396) is westbound on the 4652 block of Hayes Rd opposite Morningside/green,43.142519,-89.302918,MMT,CMAD,0,,4,270,1,Hayes,4652,Morningside
9405,9405,Wright & E Washington (NB),This stop (#9405) is northbound on the 1401 block of Wright St farside E Washington Ave,43.113962,-89.330488,MMT,CMAD,0,,1,0,1,Wright,1401,E Washington
9412,9412,Crossroads & 2910 (SB),This stop (#9412) is southbound on the 2910 block of Crossroads Dr adjacent 2910 Crossroads Driveway,43.13435,-89.290478,MMT,CMAD,0,,2,180,1,Crossroads,2910,2910
9418,9418,Hoepker & Prairie Lakes (SB),This stop (#9418) is southbound on the 2900 block of Hoepker Rd farside Prairie Lakes Dr,43.166127,-89.27295,MMT,CSUN,0,,1,180,1,Hoepker,2900,Prairie Lakes
9420,9420,N Thompson & Golden Leaf (SB),This stop (#9420) is southbound on the 920 block of Thompson Dr (N) nearside Golden Leaf Trl,43.111937,-89.296351,MMT,CMAD,0,,3,180,1,N Thompson,920,Golden Leaf
9422,9422,East Towne & Independence (WB),This stop (#9422) is westbound on the 4500 block of East Towne Blvd nearside Independence Ln,43.12749,-89.307342,MMT,CMAD,0,,3,270,1,East Towne,4500,Independence
9432,9432,Lien & Zeier (WB),This stop (#9432) is westbound on the 4698 block of Lien Rd farside Zeier Rd,43.121163,-89.30046,MMT,CMAD,0,,1,270,1,Lien,4698,Zeier
9437,9437,O'Keeffe & Linnerud (NB),This stop (#9437) is northbound on the 599 block of O'Keeffe Ave farside Linnerud Dr,43.174491,-89.244818,MMT,CSUN,0,,1,0,1,O'Keeffe,599,Linnerud
9438,9438,Anderson & Wright (WB),This stop (#9438) is westbound on the 3400 block of Anderson St nearside Wright St,43.120238,-89.329504,MMT,CMAD,0,,3,270,1,Anderson,3400,Wright
9439,9439,N Thompson & Jana (NB),This stop (#9439) is northbound on the 801 block of Thompson Dr (N) farside Jana Ln,43.108626,-89.298765,MMT,CMAD,0,,1,0,1,N Thompson,801,Jana
9442,9442,Eagan & E Washington (SB),This stop (#9442) is southbound on the 1798 block of Eagan Rd farside E Washington Ave,43.126123,-89.310211,MMT,CMAD,0,,1,180,1,Eagan,1798,E Washington
