stop_id,feature_type
1190,1001
1536,1001
2643,1001
2881,1004
2101,1005
104,1101
113,1101
167,1101
171,1101
181,1101
190,1101
192,1101
235,1101
243,1101
274,1101
327,1101
346,1101
349,1101
406,1101
418,1101
533,1101
715,1101
770,1101
843,1101
904,1101
926,1101
989,1101
1112,1101
1138,1101
1160,1101
1169,1101
1188,1101
1214,1101
1250,1101
1254,1101
1382,1101
1530,1101
1579,1101
1585,1101
1618,1101
1636,1101
1650,1101
1704,1101
1750,1101
1774,1101
1784,1101
1790,1101
1798,1101
1812,1101
1834,1101
1838,1101
2109,1101
2111,1101
2175,1101
2191,1101
2230,1101
2306,1101
2389,1101
2392,1101
2395,1101
2404,1101
2465,1101
2497,1101
2505,1101
2625,1101
2641,1101
2659,1101
2698,1101
2729,1101
2801,1101
2883,1101
2892,1101
2923,1101
3196,1101
3393,1101
3588,1101
3600,1101
3787,1101
4100,1101
4121,1101
4443,1101
4501,1101
4613,1101
4714,1101
4861,1101
4876,1101
4953,1101
5100,1101
5162,1101
5256,1101
5382,1101
5549,1101
5796,1101
5899,1101
6100,1101
6109,1101
6151,1101
6189,1101
6322,1101
6441,1101
6460,1101
6476,1101
6482,1101
6733,1101
6878,1101
6894,1101
6901,1101
7100,1101
7107,1101
7144,1101
7215,1101
7538,1101
7645,1101
7925,1101
8478,1101
8605,1101
9147,1101
9152,1101
9344,1101
9552,1101
9554,1101
9652,1101
9810,1101
3195,1101
252,1102
265,1102
506,1102
549,1102
883,1102
898,1102
1100,1102
1101,1102
1310,1102
1324,1102
1495,1102
1787,1102
1823,1102
4200,1103
4201,1103
4457,1103
4523,1103
4739,1103
4941,1103
6420,1103
6655,1103
6667,1103
6706,1103
6851,1103
10,1104
39,1104
52,1104
60,1104
100,1104
115,1104
133,1104
160,1104
178,1104
184,1104
336,1104
341,1104
435,1104
438,1104
455,1104
488,1104
532,1104
538,1104
573,1104
581,1104
670,1104
692,1104
706,1104
741,1104
795,1104
809,1104
2007,1104
2014,1104
2018,1104
2023,1104
2026,1104
2027,1104
2034,1104
2039,1104
2048,1104
2050,1104
2053,1104
2054,1104
2061,1104
2064,1104
2071,1104
2076,1104
2082,1104
2088,1104
2091,1104
2125,1104
2145,1104
2195,1104
2267,1104
2349,1104
2442,1104
2473,1104
2620,1104
2770,1104
2822,1104
2916,1104
2978,1104
2996,1104
203,1105
288,1105
459,1105
915,1105
1892,1105
2100,1105
2501,1105
5657,1105
6164,1105
6193,1105
6350,1105
6365,1105
6430,1105
6661,1105
6941,1105
9001,1105
9100,1105
9101,1105
9169,1105
9300,1105
9800,1105
107,2101
1117,2101
1141,2101
1164,2101
1199,2101
1209,2101
1269,2101
1280,2101
1388,2101
1412,2101
1481,2101
1488,2101
1513,2101
1682,2101
1757,2101
1767,2101
1846,2101
1878,2101
1938,2101
2173,2101
2388,2101
2503,2101
2524,2101
2753,2101
2836,2101
2856,2101
9172,2101
9322,2101
9361,2101
9396,2101
9549,2101
9740,2101
9874,2101
9897,2101
505,2102
568,2102
688,2102
803,2102
1558,2102
56,2104
483,2104
161,2105
367,2105
890,2105
962,2105
965,2105
971,2105
1692,2105
1730,2105
1842,2105
1996,2105
2121,2105
2131,2105
2387,2105
2431,2105
2435,2105
2500,2105
2562,2105
2566,2105
2597,2105
2608,2105
2711,2105
2812,2105
2937,2105
5295,2105
5536,2105
5625,2105
6700,2105
6902,2105
6921,2105
6965,2105
8512,2105
8829,2105
10,4115
39,4115
52,4115
60,4115
100,4115
104,4111
113,4111
115,4115
124,4111
133,4115
147,4111
160,4115
161,4111
166,4111
167,4111
171,4111
174,4111
178,4115
181,4111
184,4115
190,4111
192,4111
203,4111
217,4111
234,4111
235,4111
241,4111
243,4111
251,4111
252,4111
265,4111
266,4111
274,4111
288,4111
294,4111
300,4111
320,4111
327,4111
336,4115
341,4115
346,4111
349,4111
367,4111
391,4111
398,4111
405,4111
406,4111
418,4111
435,4115
438,4115
455,4115
456,4111
459,4111
469,4111
475,4111
488,4115
499,4111
505,4111
506,4111
519,4111
530,4111
532,4115
533,4111
538,4115
542,4111
546,4111
548,4111
549,4111
568,4111
573,4115
581,4115
590,4111
633,4111
670,4115
688,4111
692,4115
706,4115
715,4111
741,4115
749,4111
768,4111
770,4111
795,4115
803,4111
809,4115
816,4111
839,4111
840,4111
841,4111
843,4111
883,4111
890,4111
894,4111
898,4111
904,4111
915,4115
916,4111
926,4115
941,4111
962,4111
967,4111
971,4111
989,4111
1100,4111
1101,4111
1112,4111
1116,4111
1138,4111
1141,4111
1156,4111
1157,4111
1160,4111
1169,4111
1177,4111
1188,4111
1190,4111
1199,4111
1209,4111
1211,4111
1214,4111
1233,4111
1250,4111
1254,4111
1269,4111
1280,4111
1293,4111
1301,4111
1310,4111
1311,4111
1323,4111
1324,4111
1325,4111
1329,4111
1333,4111
1341,4111
1350,4111
1382,4111
1392,4111
1404,4111
1462,4111
1481,4111
1482,4111
1486,4111
1488,4111
1495,4111
1504,4111
1521,4111
1530,4111
1536,4111
1558,4111
1561,4111
1579,4111
1585,4111
1618,4111
1636,4111
1650,4111
1675,4111
1689,4111
1704,4111
1707,4111
1717,4111
1730,4111
1750,4111
1751,4111
1759,4111
1767,4111
1774,4111
1777,4111
1784,4111
1787,4111
1790,4111
1798,4111
1812,4111
1823,4111
1831,4111
1834,4111
1838,4111
1878,4111
1883,4111
1892,4111
1898,4111
1922,4111
1923,4111
1927,4111
1936,4111
1938,4111
1959,4111
1966,4111
1968,4111
1975,4111
2007,4115
2014,4115
2018,4115
2023,4115
2026,4115
2027,4115
2034,4115
2039,4115
2048,4115
2050,4115
2053,4115
2054,4115
2061,4115
2064,4115
2071,4115
2076,4115
2082,4115
2088,4115
2091,4115
2100,4111
2101,4111
2109,4111
2111,4111
2121,4111
2125,4115
2131,4111
2138,4111
2145,4115
2146,4111
2165,4111
2171,4111
2175,4111
2184,4111
2191,4111
2192,4111
2195,4115
2200,4111
2201,4111
2230,4111
2255,4111
2263,4111
2264,4111
2267,4115
2270,4111
2306,4111
2349,4115
2359,4111
2370,4111
2376,4111
2389,4111
2392,4111
2393,4111
2395,4111
2397,4111
2398,4111
2401,4111
2404,4111
2433,4111
2435,4111
2442,4115
2443,4111
2465,4111
2473,4115
2487,4111
2494,4111
2497,4111
2501,4111
2505,4111
2509,4111
2513,4111
2522,4111
2524,4111
2561,4111
2595,4111
2601,4111
2605,4111
2608,4111
2617,4111
2620,4115
2625,4111
2641,4111
2643,4111
2655,4111
2659,4111
2698,4111
2702,4111
2712,4111
2717,4111
2725,4111
2729,4111
2737,4111
2753,4111
2770,4115
2773,4111
2790,4111
2801,4111
2812,4111
2822,4115
2824,4111
2846,4111
2881,4115
2883,4111
2892,4111
2902,4111
2916,4115
2923,4111
2940,4111
2945,4111
2972,4111
2978,4115
2996,4115
3195,4111
3196,4111
3259,4111
3368,4111
3393,4111
3457,4111
3500,4111
3588,4111
3592,4111
3600,4111
3732,4111
3740,4111
3772,4111
3787,4111
3799,4111
3841,4111
3913,4111
4100,4111
4121,4111
4122,4111
4139,4111
4171,4111
4179,4111
4197,4111
4200,4111
4201,4111
4216,4111
4224,4111
4240,4111
4295,4111
4325,4111
4326,4111
4360,4111
4401,4111
4412,4111
4430,4111
4437,4111
4443,4111
4446,4111
4457,4115
4501,4111
4523,4111
4613,4111
4699,4111
4714,4111
4739,4111
4755,4111
4761,4111
4798,4111
4801,4111
4837,4111
4841,4111
4849,4111
4861,4111
4876,4111
4941,4111
4945,4111
4953,4111
4957,4111
4993,4111
5100,4111
5109,4111
5149,4111
5162,4111
5256,4111
5287,4111
5346,4111
5366,4111
5382,4111
5414,4111
5421,4111
5536,4111
5549,4111
5657,4111
5683,4111
5715,4111
5748,4111
5765,4111
5796,4111
5823,4111
5856,4111
5899,4111
6100,4111
6105,4111
6109,4111
6130,4111
6149,4111
6151,4111
6159,4111
6164,4111
6169,4111
6188,4111
6189,4111
6193,4115
6213,4111
6223,4111
6246,4111
6253,4111
6269,4111
6277,4111
6281,4111
6291,4111
6322,4111
6350,4111
6364,4111
6365,4111
6395,4111
6418,4111
6420,4111
6430,4111
6441,4111
6457,4111
6460,4111
6476,4111
6482,4111
6489,4111
6501,4111
6588,4111
6628,4111
6655,4111
6661,4111
6667,4111
6673,4111
6685,4111
6706,4111
6717,4111
6724,4111
6733,4111
6748,4111
6822,4111
6823,4111
6851,4115
6852,4111
6860,4111
6878,4111
6883,4111
6884,4111
6894,4111
6901,4111
6921,4111
6924,4111
6938,4111
6941,4111
6965,4111
6966,4111
6972,4111
6973,4111
6984,4111
7100,4111
7107,4111
7144,4111
7176,4111
7190,4111
7215,4111
7232,4111
7310,4111
7417,4111
7538,4111
7605,4111
7633,4111
7640,4111
7645,4111
7739,4111
7834,4111
7892,4111
7925,4111
8100,4111
8101,4111
8119,4111
8131,4111
8166,4111
8173,4111
8188,4111
8235,4111
8239,4111
8281,4111
8297,4111
8351,4111
8352,4111
8401,4111
8428,4111
8478,4111
8512,4111
8605,4111
8634,4111
8664,4111
8693,4111
8714,4111
8769,4111
8829,4111
8937,4111
9001,4111
9100,4115
9101,4115
9116,4111
9131,4111
9139,4111
9147,4111
9148,4111
9152,4111
9164,4111
9169,4115
9192,4111
9196,4111
9198,4111
9220,4111
9242,4111
9258,4111
9273,4111
9277,4111
9285,4111
9300,4115
9322,4111
9344,4111
9361,4111
9370,4111
9405,4111
9418,4111
9437,4111
9438,4111
9472,4111
9490,4111
9497,4111
9528,4111
9531,4111
9535,4111
9543,4111
9545,4111
9552,4111
9554,4111
9573,4111
9633,4111
9639,4111
9651,4111
9652,4111
9675,4111
9719,4111
9740,4111
9753,4111
9785,4111
9800,4111
9810,4111
9812,4111
9834,4111
9849,4111
9862,4111
9871,4111
9897,4111
9951,4111
1100,4201
1101,4201
1310,4201
1324,4201
1495,4201
1787,4201
1823,4201
4100,4201
5100,4201
6100,4201
7100,4201
9169,4201
9001,4205
252,5102
265,5102
506,5102
549,5102
883,5102
898,5102
1100,5102
1101,5102
1310,5102
1324,5102
1495,5102
1650,5101
1787,5102
1823,5102
3195,5102
4100,5101
5100,5101
6100,5101
6350,5105
7100,5101
9147,5102
9800,5105
