table_name,field_name,language,translation,record_id,record_sub_id,field_value
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-50,,,http://www.cityofmadison.com/metro/routes-schedules/route-50
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-51,,,http://www.cityofmadison.com/metro/routes-schedules/route-51
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-52,,,http://www.cityofmadison.com/metro/routes-schedules/route-52
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-55,,,http://www.cityofmadison.com/metro/routes-schedules/route-55
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-56,,,http://www.cityofmadison.com/metro/routes-schedules/route-56
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-57,,,http://www.cityofmadison.com/metro/routes-schedules/route-57
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-58,,,http://www.cityofmadison.com/metro/routes-schedules/route-58
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-59,,,http://www.cityofmadison.com/metro/routes-schedules/route-59
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-63,,,http://www.cityofmadison.com/metro/routes-schedules/route-63
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-67,,,http://www.cityofmadison.com/metro/routes-schedules/route-67
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-68,,,http://www.cityofmadison.com/metro/routes-schedules/route-68
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-70,,,http://www.cityofmadison.com/metro/routes-schedules/route-70
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-71,,,http://www.cityofmadison.com/metro/routes-schedules/route-71
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-72,,,http://www.cityofmadison.com/metro/routes-schedules/route-72
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-73,,,http://www.cityofmadison.com/metro/routes-schedules/route-73
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-75,,,http://www.cityofmadison.com/metro/routes-schedules/route-75
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-80,,,http://www.cityofmadison.com/metro/routes-schedules/route-80
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-81,,,http://www.cityofmadison.com/metro/routes-schedules/route-81
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-82,,,http://www.cityofmadison.com/metro/routes-schedules/route-82
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-84,,,http://www.cityofmadison.com/metro/routes-schedules/route-84
agency,agency_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/servicio-escolar-suplementario,,,http://www.cityofmadison.com/metro/routes-schedules/supplemental-school-service
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/servicio-escolar-suplementario,,,http://www.cityofmadison.com/metro/routes-schedules/supplemental-school-service
