route_id,service_id,agency_id,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
8481,87,MMT,25,,AMERICAN:CAP SQR,Serves Capitol Square to/from American Center. Operates limited trips in American Center direction in the morning and afternoon and limited trips in Capitol Square direction in the afternoon on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-25,A29F9A,000000,1
8482,87,MMT,26,,AMERICAN:E TOWNE,Serves East Towne Mall to/from American Center. Operates regularly from about 6 AM to 10 PM on weekday service days; during entire day on weekend and holiday/modified service days.,3,http://www.cityofmadison.com/metro/routes-schedules/route-26,653A91,FFFFFF,1
8483,87,MMT,27,,U CAMPUS:NORTH TP,Serves North Transfer Point to/from UW Campus. Operates regularly in UW Campus direction from about 6 AM to 9 AM and in North Transfer Point direction from about 3 PM to 6 PM on weekday service days only; limited trips in opposite direction during mornin,3,http://www.cityofmadison.com/metro/routes-schedules/route-27,7DC0D0,000000,1
8484,87,MMT,28,,NORTH TP:WEST TP,Serves North Transfer Point to/from West Transfer Point. Operates regularly in West Transfer Point direction from about 5 AM to 9 AM and in North Transfer Point direction from about 2 PM to 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-28,6AB6D1,000000,1
8485,87,MMT,29,,SCHOOL:BREESE,Serves School Road to/from UW Campus-Breese Terrace. Operates limited trips in UW Campus direction in the morning and limited trips in School Road direction in the afternoon on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-29,5C99A5,000000,1
8486,87,MMT,30,,E TOWNE:EAST TP,Serves East Transfer Point to/from East Towne Mall. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/routes-schedules/route-30,DA8A39,000000,1
8487,87,MMT,31,,MARSH RD:EAST TP,Serves East Transfer Point to/from Marsh Road. Operates regularly in both directions from about 7 AM to 10 AM and 4 PM to 11 PM on weekday service days; operates regularly in both directions via Dutch Mill during entire day on weekend and holiday/modifie,3,http://www.cityofmadison.com/metro/routes-schedules/route-31,841D1D,FFFFFF,1
8488,87,MMT,32,,ACEWOOD-THOMPSON:ETP,Serves East Transfer Point to/from Acewood-Thompson. Operates regularly in Acewood direction at about 2 PM and from 7 PM to 11 PM on weekday service days only; operates regularly in Thompson direction from about 9 AM to 1 PM on weekday service days and du,3,http://www.cityofmadison.com/metro/routes-schedules/route-32,5580A9,000000,1
8489,87,MMT,33,,SPRECHER-THOMPSON:ETP,Serves East Transfer Point to/from Sprecher-Thompson. Operates regularly in Sprecher direction from about 6 AM to 9 AM on weekday service days; operates regularly in Thompson direction from about 3 PM to 6 PM on weekday service days.,3,http://www.cityofmadison.com/metro/routes-schedules/route-33,5FA79D,000000,1
8490,87,MMT,34,,MATC:EAST TP,Serves East Transfer Point to/from MATC Truax. Operates regularly only from about 7 AM to 6 PM on weekday service days.,3,http://www.cityofmadison.com/metro/routes-schedules/route-34,976C25,000000,1
8491,87,MMT,35,,ATLAS-ACEWOOD:ETP,Serves East Transfer Point to/from Atlas-Acewood. Operates regularly in Atlas direction from about 6 AM to 9 AM on weekday service days; operates regularly in Acewood direction from about 3 PM to 6 PM on weekday service days.,3,http://www.cityofmadison.com/metro/routes-schedules/route-35,C8537D,000000,1
8492,87,MMT,36,,E SPRINGS:E TOWNE,Serves East Towne Mall to/from East Springs. Operates regularly during entire day on every service day.,3,http://www.cityofmadison.com/metro/routes-schedules/route-36,4D5613,000000,1
8493,87,MMT,37,,SHEBOYGN:PFLAUM,Serves Sheboygan Avenue to/from Pflaum Road. Operates regularly in Pflaum Road direction from about 7 AM to 10 AM and in Sheboygan Avenue direction from about 4 PM to 6 PM on weekday service days only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-37,CB6B77,000000,1
